Date,Country,Continent,Population,Weekly_New_Cases,Weekly_New_Deaths,Cumulative_Cases,Cumulative_Deaths,Cases_Per_Million,Deaths_Per_Million,Case_Fatality_Rate_Pct,Vaccinated_Pct,Recovery_Rate_Pct
2020-11-22,India,Asia,1380000000,14365,303,788112,12424,571.1,9.0,1.576,0.0,98.42
2020-11-29,India,Asia,1380000000,13208,223,801320,12647,580.67,9.16,1.578,0.0,98.42
2020-12-06,India,Asia,1380000000,12086,101,813406,12748,589.42,9.24,1.567,0.0,98.43
2020-12-13,India,Asia,1380000000,9169,78,822575,12826,596.07,9.29,1.559,0.0,98.44
2020-12-20,India,Asia,1380000000,12252,163,834827,12989,604.95,9.41,1.556,0.0,98.44
2020-12-27,India,Asia,1380000000,10695,250,845522,13239,612.7,9.59,1.566,0.0,98.43
2021-01-03,India,Asia,1380000000,8442,126,853964,13365,618.81,9.68,1.565,0.0,98.44
2021-01-10,India,Asia,1380000000,10630,126,864594,13491,626.52,9.78,1.56,0.0,98.44
2021-01-17,India,Asia,1380000000,6328,81,870922,13572,631.1,9.83,1.558,0.0,98.44
2021-01-24,India,Asia,1380000000,6158,146,877080,13718,635.57,9.94,1.564,0.0,98.44
2021-01-31,India,Asia,1380000000,8253,154,885333,13872,641.55,10.05,1.567,0.0,98.43
2021-02-07,India,Asia,1380000000,7570,163,892903,14035,647.03,10.17,1.572,0.0,98.43
2021-02-14,India,Asia,1380000000,4388,101,897291,14136,650.21,10.24,1.575,0.0,98.42
2021-02-21,India,Asia,1380000000,4720,102,902011,14238,653.63,10.32,1.578,0.0,98.42
2021-02-28,India,Asia,1380000000,4715,63,906726,14301,657.05,10.36,1.577,0.0,98.42
2021-03-07,India,Asia,1380000000,2300,27,909026,14328,658.71,10.38,1.576,0.29,98.42
2021-03-14,India,Asia,1380000000,2611,59,911637,14387,660.61,10.43,1.578,0.77,98.42
2021-03-21,India,Asia,1380000000,1564,23,913201,14410,661.74,10.44,1.578,1.57,98.42
2021-03-28,India,Asia,1380000000,1373,18,914574,14428,662.73,10.46,1.578,2.99,98.42
2021-04-04,India,Asia,1380000000,1789,30,916363,14458,664.03,10.48,1.578,4.61,98.42
2021-04-11,India,Asia,1380000000,2039,49,918402,14507,665.51,10.51,1.58,6.38,98.42
2021-04-18,India,Asia,1380000000,2072,34,920474,14541,667.01,10.54,1.58,7.77,98.42
2021-04-25,India,Asia,1380000000,2325,20,922799,14561,668.69,10.55,1.578,9.33,98.42
2021-05-02,India,Asia,1380000000,3471,30,926270,14591,671.21,10.57,1.575,10.7,98.42
2021-05-09,India,Asia,1380000000,5296,63,931566,14654,675.05,10.62,1.573,11.99,98.43
2021-05-16,India,Asia,1380000000,5000,123,936566,14777,678.67,10.71,1.578,13.33,98.42
2021-05-23,India,Asia,1380000000,6398,134,942964,14911,683.31,10.81,1.581,14.67,98.42
2021-05-30,India,Asia,1380000000,7452,106,950416,15017,688.71,10.88,1.58,16.25,98.42
2021-06-06,India,Asia,1380000000,7880,134,958296,15151,694.42,10.98,1.581,17.51,98.42
2021-06-13,India,Asia,1380000000,9635,129,967931,15280,701.4,11.07,1.579,18.82,98.42
2021-06-20,India,Asia,1380000000,6324,114,974255,15394,705.98,11.16,1.58,20.42,98.42
2021-06-27,India,Asia,1380000000,6689,111,980944,15505,710.83,11.24,1.581,21.76,98.42
2021-07-04,India,Asia,1380000000,10973,120,991917,15625,718.78,11.32,1.575,23.38,98.42
2021-07-11,India,Asia,1380000000,10015,239,1001932,15864,726.04,11.5,1.583,24.66,98.42
2021-07-18,India,Asia,1380000000,10291,102,1012223,15966,733.49,11.57,1.577,26.41,98.42
2021-07-25,India,Asia,1380000000,14698,182,1026921,16148,744.15,11.7,1.572,28.01,98.43
2021-08-01,India,Asia,1380000000,14961,260,1041882,16408,754.99,11.89,1.575,29.53,98.42
2021-08-08,India,Asia,1380000000,11095,106,1052977,16514,763.03,11.97,1.568,31.26,98.43
2021-08-15,India,Asia,1380000000,16945,317,1069922,16831,775.31,12.2,1.573,32.67,98.43
2021-08-22,India,Asia,1380000000,12889,262,1082811,17093,784.65,12.39,1.579,34.41,98.42
2021-08-29,India,Asia,1380000000,18054,383,1100865,17476,797.73,12.66,1.587,35.99,98.41
2021-09-05,India,Asia,1380000000,11335,121,1112200,17597,805.94,12.75,1.582,37.73,98.42
2021-09-12,India,Asia,1380000000,16520,134,1128720,17731,817.91,12.85,1.571,38.99,98.43
2021-09-19,India,Asia,1380000000,17485,141,1146205,17872,830.58,12.95,1.559,40.29,98.44
2021-09-26,India,Asia,1380000000,16764,331,1162969,18203,842.73,13.19,1.565,41.88,98.44
2021-10-03,India,Asia,1380000000,13872,278,1176841,18481,852.78,13.39,1.57,43.22,98.43
2021-10-10,India,Asia,1380000000,15152,313,1191993,18794,863.76,13.62,1.577,44.81,98.42
2021-10-17,India,Asia,1380000000,20802,398,1212795,19192,878.84,13.91,1.582,46.35,98.42
2021-10-24,India,Asia,1380000000,13187,187,1225982,19379,888.39,14.04,1.581,47.71,98.42
2021-10-31,India,Asia,1380000000,14937,366,1240919,19745,899.22,14.31,1.591,49.15,98.41
2021-11-07,India,Asia,1380000000,22018,412,1262937,20157,915.17,14.61,1.596,50.82,98.4
2021-11-14,India,Asia,1380000000,17999,320,1280936,20477,928.21,14.84,1.599,52.32,98.4
2021-11-21,India,Asia,1380000000,14777,299,1295713,20776,938.92,15.06,1.603,53.69,98.4
2021-11-28,India,Asia,1380000000,12980,246,1308693,21022,948.33,15.23,1.606,54.99,98.39
2021-12-05,India,Asia,1380000000,23028,557,1331721,21579,965.02,15.64,1.62,56.74,98.38
2021-12-12,India,Asia,1380000000,16811,138,1348532,21717,977.2,15.74,1.61,58.5,98.39
2021-12-19,India,Asia,1380000000,17433,425,1365965,22142,989.83,16.04,1.621,60.28,98.38
2021-12-26,India,Asia,1380000000,22023,286,1387988,22428,1005.79,16.25,1.616,61.71,98.38
2022-01-02,India,Asia,1380000000,21911,293,1409899,22721,1021.67,16.46,1.612,63.01,98.39
2022-01-09,India,Asia,1380000000,18606,444,1428505,23165,1035.15,16.79,1.622,64.63,98.38
2022-01-16,India,Asia,1380000000,18608,179,1447113,23344,1048.63,16.92,1.613,66.2,98.39
2022-01-23,India,Asia,1380000000,22895,237,1470008,23581,1065.22,17.09,1.604,67.71,98.4
2022-01-30,India,Asia,1380000000,21462,441,1491470,24022,1080.78,17.41,1.611,69.33,98.39
2022-02-06,India,Asia,1380000000,19378,273,1510848,24295,1094.82,17.61,1.608,70.7,98.39
2022-02-13,India,Asia,1380000000,20192,439,1531040,24734,1109.45,17.92,1.616,72.42,98.38
2022-02-20,India,Asia,1380000000,20912,349,1551952,25083,1124.6,18.18,1.616,73.92,98.38
2022-02-27,India,Asia,1380000000,19403,369,1571355,25452,1138.66,18.44,1.62,75.55,98.38
2022-03-06,India,Asia,1380000000,18997,439,1590352,25891,1152.43,18.76,1.628,76.95,98.37
2022-03-13,India,Asia,1380000000,14607,140,1604959,26031,1163.01,18.86,1.622,78.5,98.38
2022-03-20,India,Asia,1380000000,11123,177,1616082,26208,1171.07,18.99,1.622,80.02,98.38
2022-03-27,India,Asia,1380000000,13100,236,1629182,26444,1180.57,19.16,1.623,81.24,98.38
2022-04-03,India,Asia,1380000000,10556,232,1639738,26676,1188.22,19.33,1.627,82.66,98.37
2022-04-10,India,Asia,1380000000,11008,185,1650746,26861,1196.19,19.46,1.627,84.32,98.37
2022-04-17,India,Asia,1380000000,11390,211,1662136,27072,1204.45,19.62,1.629,85.57,98.37
2022-04-24,India,Asia,1380000000,9697,165,1671833,27237,1211.47,19.74,1.629,87.09,98.37
2022-05-01,India,Asia,1380000000,13838,281,1685671,27518,1221.5,19.94,1.632,88.88,98.37
2022-05-08,India,Asia,1380000000,12408,167,1698079,27685,1230.49,20.06,1.63,90.56,98.37
2022-05-15,India,Asia,1380000000,10158,157,1708237,27842,1237.85,20.18,1.63,91.8,98.37
2022-05-22,India,Asia,1380000000,8050,196,1716287,28038,1243.69,20.32,1.634,92.0,98.37
2022-05-29,India,Asia,1380000000,11985,179,1728272,28217,1252.37,20.45,1.633,92.0,98.37
2022-06-05,India,Asia,1380000000,8361,102,1736633,28319,1258.43,20.52,1.631,92.0,98.37
2022-06-12,India,Asia,1380000000,12440,239,1749073,28558,1267.44,20.69,1.633,92.0,98.37
2022-06-19,India,Asia,1380000000,14639,300,1763712,28858,1278.05,20.91,1.636,92.0,98.36
2022-06-26,India,Asia,1380000000,12770,193,1776482,29051,1287.31,21.05,1.635,92.0,98.36
2022-07-03,India,Asia,1380000000,11349,237,1787831,29288,1295.53,21.22,1.638,92.0,98.36
2022-07-10,India,Asia,1380000000,9900,86,1797731,29374,1302.7,21.29,1.634,92.0,98.37
2022-07-17,India,Asia,1380000000,16124,321,1813855,29695,1314.39,21.52,1.637,92.0,98.36
2022-07-24,India,Asia,1380000000,10393,170,1824248,29865,1321.92,21.64,1.637,92.0,98.36
2022-07-31,India,Asia,1380000000,11328,174,1835576,30039,1330.13,21.77,1.636,92.0,98.36
2022-08-07,India,Asia,1380000000,15470,290,1851046,30329,1341.34,21.98,1.638,92.0,98.36
2022-08-14,India,Asia,1380000000,13704,255,1864750,30584,1351.27,22.16,1.64,92.0,98.36
2022-08-21,India,Asia,1380000000,18392,353,1883142,30937,1364.6,22.42,1.643,92.0,98.36
2022-08-28,India,Asia,1380000000,11479,217,1894621,31154,1372.91,22.58,1.644,92.0,98.36
2022-09-04,India,Asia,1380000000,16562,397,1911183,31551,1384.92,22.86,1.651,92.0,98.35
2022-09-11,India,Asia,1380000000,14942,282,1926125,31833,1395.74,23.07,1.653,92.0,98.35
2022-09-18,India,Asia,1380000000,16702,400,1942827,32233,1407.85,23.36,1.659,92.0,98.34
2022-09-25,India,Asia,1380000000,21029,491,1963856,32724,1423.08,23.71,1.666,92.0,98.33
2022-10-02,India,Asia,1380000000,12355,120,1976211,32844,1432.04,23.8,1.662,92.0,98.34
2022-10-09,India,Asia,1380000000,12728,249,1988939,33093,1441.26,23.98,1.664,92.0,98.34
2022-10-16,India,Asia,1380000000,15114,337,2004053,33430,1452.21,24.22,1.668,92.0,98.33
2022-10-23,India,Asia,1380000000,20281,259,2024334,33689,1466.91,24.41,1.664,92.0,98.34
2022-10-30,India,Asia,1380000000,19162,358,2043496,34047,1480.79,24.67,1.666,92.0,98.33
2022-11-06,India,Asia,1380000000,19611,424,2063107,34471,1495.01,24.98,1.671,92.0,98.33
2022-11-13,India,Asia,1380000000,13875,288,2076982,34759,1505.06,25.19,1.674,92.0,98.33
2022-11-20,India,Asia,1380000000,22253,334,2099235,35093,1521.18,25.43,1.672,92.0,98.33
2022-11-27,India,Asia,1380000000,19995,275,2119230,35368,1535.67,25.63,1.669,92.0,98.33
2022-12-04,India,Asia,1380000000,20749,317,2139979,35685,1550.71,25.86,1.668,92.0,98.33
2022-12-11,India,Asia,1380000000,19565,190,2159544,35875,1564.89,26.0,1.661,92.0,98.34
2022-12-18,India,Asia,1380000000,16891,372,2176435,36247,1577.13,26.27,1.665,92.0,98.33
2022-12-25,India,Asia,1380000000,20628,301,2197063,36548,1592.07,26.48,1.663,92.0,98.34
2023-01-01,India,Asia,1380000000,20481,195,2217544,36743,1606.92,26.63,1.657,92.0,98.34
2023-01-08,India,Asia,1380000000,20633,498,2238177,37241,1621.87,26.99,1.664,92.0,98.34
2023-01-15,India,Asia,1380000000,17252,269,2255429,37510,1634.37,27.18,1.663,92.0,98.34
2023-01-22,India,Asia,1380000000,14084,273,2269513,37783,1644.57,27.38,1.665,92.0,98.33
2023-01-29,India,Asia,1380000000,18069,387,2287582,38170,1657.67,27.66,1.669,92.0,98.33
2023-02-05,India,Asia,1380000000,14978,134,2302560,38304,1668.52,27.76,1.664,92.0,98.34
2023-02-12,India,Asia,1380000000,14136,326,2316696,38630,1678.77,27.99,1.667,92.0,98.33
2023-02-19,India,Asia,1380000000,10969,114,2327665,38744,1686.71,28.08,1.665,92.0,98.33
2023-02-26,India,Asia,1380000000,14785,143,2342450,38887,1697.43,28.18,1.66,92.0,98.34
2023-03-05,India,Asia,1380000000,14950,138,2357400,39025,1708.26,28.28,1.655,92.0,98.34
2023-03-12,India,Asia,1380000000,14441,135,2371841,39160,1718.73,28.38,1.651,92.0,98.35
2023-03-19,India,Asia,1380000000,15934,228,2387775,39388,1730.27,28.54,1.65,92.0,98.35
2023-03-26,India,Asia,1380000000,14003,337,2401778,39725,1740.42,28.79,1.654,92.0,98.35
2023-04-02,India,Asia,1380000000,12929,186,2414707,39911,1749.79,28.92,1.653,92.0,98.35
2023-04-09,India,Asia,1380000000,12400,216,2427107,40127,1758.77,29.08,1.653,92.0,98.35
2023-04-16,India,Asia,1380000000,12461,123,2439568,40250,1767.8,29.17,1.65,92.0,98.35
2023-04-23,India,Asia,1380000000,6632,105,2446200,40355,1772.61,29.24,1.65,92.0,98.35
2023-04-30,India,Asia,1380000000,6731,67,2452931,40422,1777.49,29.29,1.648,92.0,98.35
2023-05-07,India,Asia,1380000000,9241,165,2462172,40587,1784.18,29.41,1.648,92.0,98.35
2023-05-14,India,Asia,1380000000,6806,87,2468978,40674,1789.11,29.47,1.647,92.0,98.35
2023-05-21,India,Asia,1380000000,5546,135,2474524,40809,1793.13,29.57,1.649,92.0,98.35
2023-05-28,India,Asia,1380000000,7593,66,2482117,40875,1798.64,29.62,1.647,92.0,98.35
2023-06-04,India,Asia,1380000000,5322,132,2487439,41007,1802.49,29.72,1.649,92.0,98.35
2023-06-11,India,Asia,1380000000,5240,128,2492679,41135,1806.29,29.81,1.65,92.0,98.35
2023-06-18,India,Asia,1380000000,5285,104,2497964,41239,1810.12,29.88,1.651,92.0,98.35
2023-06-25,India,Asia,1380000000,5083,91,2503047,41330,1813.8,29.95,1.651,92.0,98.35
2023-07-02,India,Asia,1380000000,3294,42,2506341,41372,1816.19,29.98,1.651,92.0,98.35
2023-07-09,India,Asia,1380000000,5340,84,2511681,41456,1820.06,30.04,1.651,92.0,98.35
2023-07-16,India,Asia,1380000000,3567,39,2515248,41495,1822.64,30.07,1.65,92.0,98.35
2023-07-23,India,Asia,1380000000,3556,63,2518804,41558,1825.22,30.11,1.65,92.0,98.35
2023-07-30,India,Asia,1380000000,4721,116,2523525,41674,1828.64,30.2,1.651,92.0,98.35
2023-08-06,India,Asia,1380000000,3521,46,2527046,41720,1831.19,30.23,1.651,92.0,98.35
2023-08-13,India,Asia,1380000000,3569,38,2530615,41758,1833.78,30.26,1.65,92.0,98.35
2023-08-20,India,Asia,1380000000,4179,100,2534794,41858,1836.81,30.33,1.651,92.0,98.35
2023-08-27,India,Asia,1380000000,4594,69,2539388,41927,1840.14,30.38,1.651,92.0,98.35
2023-09-03,India,Asia,1380000000,6216,54,2545604,41981,1844.64,30.42,1.649,92.0,98.35
2023-09-10,India,Asia,1380000000,5449,118,2551053,42099,1848.59,30.51,1.65,92.0,98.35
2023-09-17,India,Asia,1380000000,5268,95,2556321,42194,1852.41,30.58,1.651,92.0,98.35
2023-09-24,India,Asia,1380000000,9535,212,2565856,42406,1859.32,30.73,1.653,92.0,98.35
2023-10-01,India,Asia,1380000000,8045,121,2573901,42527,1865.15,30.82,1.652,92.0,98.35
2023-10-08,India,Asia,1380000000,6566,149,2580467,42676,1869.9,30.92,1.654,92.0,98.35
2023-10-15,India,Asia,1380000000,12586,313,2593053,42989,1879.02,31.15,1.658,92.0,98.34
2023-10-22,India,Asia,1380000000,12081,290,2605134,43279,1887.78,31.36,1.661,92.0,98.34
2023-10-29,India,Asia,1380000000,9422,147,2614556,43426,1894.61,31.47,1.661,92.0,98.34
2023-11-05,India,Asia,1380000000,15003,274,2629559,43700,1905.48,31.67,1.662,92.0,98.34
2023-11-12,India,Asia,1380000000,13740,254,2643299,43954,1915.43,31.85,1.663,92.0,98.34
2023-11-19,India,Asia,1380000000,10065,195,2653364,44149,1922.73,31.99,1.664,92.0,98.34
2023-11-26,India,Asia,1380000000,15970,268,2669334,44417,1934.3,32.19,1.664,92.0,98.34
2023-12-03,India,Asia,1380000000,14775,259,2684109,44676,1945.01,32.37,1.664,92.0,98.34
2023-12-10,India,Asia,1380000000,14043,144,2698152,44820,1955.18,32.48,1.661,92.0,98.34
2023-12-17,India,Asia,1380000000,17825,330,2715977,45150,1968.1,32.72,1.662,92.0,98.34
2023-12-24,India,Asia,1380000000,13232,136,2729209,45286,1977.69,32.82,1.659,92.0,98.34
2023-12-31,India,Asia,1380000000,15006,270,2744215,45556,1988.56,33.01,1.66,92.0,98.34
2020-01-05,United States,North America,331000000,9982,203,9982,203,30.16,0.61,2.034,0.0,97.97
2020-01-12,United States,North America,331000000,14480,226,24462,429,73.9,1.3,1.754,0.0,98.25
2020-01-19,United States,North America,331000000,18591,242,43053,671,130.07,2.03,1.559,0.0,98.44
2020-01-26,United States,North America,331000000,15964,317,59017,988,178.3,2.98,1.674,0.0,98.33
2020-02-02,United States,North America,331000000,19492,308,78509,1296,237.19,3.92,1.651,0.0,98.35
2020-02-09,United States,North America,331000000,20895,440,99404,1736,300.31,5.24,1.746,0.0,98.25
2020-02-16,United States,North America,331000000,13393,117,112797,1853,340.78,5.6,1.643,0.0,98.36
2020-02-23,United States,North America,331000000,20219,281,133016,2134,401.86,6.45,1.604,0.0,98.4
2020-03-01,United States,North America,331000000,16160,288,149176,2422,450.68,7.32,1.624,0.0,98.38
2020-03-08,United States,North America,331000000,18347,314,167523,2736,506.11,8.27,1.633,0.0,98.37
2020-03-15,United States,North America,331000000,20444,366,187967,3102,567.88,9.37,1.65,0.0,98.35
2020-03-22,United States,North America,331000000,20297,403,208264,3505,629.2,10.59,1.683,0.0,98.32
2020-03-29,United States,North America,331000000,17939,355,226203,3860,683.39,11.66,1.706,0.0,98.29
2020-04-05,United States,North America,331000000,21574,493,247777,4353,748.57,13.15,1.757,0.0,98.24
2020-04-12,United States,North America,331000000,23543,577,271320,4930,819.7,14.89,1.817,0.0,98.18
2020-04-19,United States,North America,331000000,25302,298,296622,5228,896.14,15.79,1.763,0.0,98.24
2020-04-26,United States,North America,331000000,29017,402,325639,5630,983.8,17.01,1.729,0.0,98.27
2020-05-03,United States,North America,331000000,22498,192,348137,5822,1051.77,17.59,1.672,0.0,98.33
2020-05-10,United States,North America,331000000,25900,442,374037,6264,1130.02,18.92,1.675,0.0,98.33
2020-05-17,United States,North America,331000000,23322,541,397359,6805,1200.48,20.56,1.713,0.0,98.29
2020-05-24,United States,North America,331000000,20092,273,417451,7078,1261.18,21.38,1.696,0.0,98.3
2020-05-31,United States,North America,331000000,23335,223,440786,7301,1331.68,22.06,1.656,0.0,98.34
2020-06-07,United States,North America,331000000,26074,513,466860,7814,1410.45,23.61,1.674,0.0,98.33
2020-06-14,United States,North America,331000000,26755,285,493615,8099,1491.28,24.47,1.641,0.0,98.36
2020-06-21,United States,North America,331000000,24755,199,518370,8298,1566.07,25.07,1.601,0.0,98.4
2020-06-28,United States,North America,331000000,32762,309,551132,8607,1665.05,26.0,1.562,0.0,98.44
2020-07-05,United States,North America,331000000,28467,705,579599,9312,1751.05,28.13,1.607,0.0,98.39
2020-07-12,United States,North America,331000000,27508,652,607107,9964,1834.16,30.1,1.641,0.0,98.36
2020-07-19,United States,North America,331000000,22634,473,629741,10437,1902.54,31.53,1.657,0.0,98.34
2020-07-26,United States,North America,331000000,27324,553,657065,10990,1985.09,33.2,1.673,0.0,98.33
2020-08-02,United States,North America,331000000,19692,206,676757,11196,2044.58,33.82,1.654,0.0,98.35
2020-08-09,United States,North America,331000000,20699,407,697456,11603,2107.12,35.05,1.664,0.0,98.34
2020-08-16,United States,North America,331000000,31777,659,729233,12262,2203.12,37.05,1.681,0.0,98.32
2020-08-23,United States,North America,331000000,18734,426,747967,12688,2259.72,38.33,1.696,0.0,98.3
2020-08-30,United States,North America,331000000,23527,347,771494,13035,2330.8,39.38,1.69,0.0,98.31
2020-09-06,United States,North America,331000000,19409,398,790903,13433,2389.44,40.58,1.698,0.0,98.3
2020-09-13,United States,North America,331000000,20277,356,811180,13789,2450.69,41.66,1.7,0.0,98.3
2020-09-20,United States,North America,331000000,29656,282,840836,14071,2540.29,42.51,1.673,0.0,98.33
2020-09-27,United States,North America,331000000,24660,295,865496,14366,2614.79,43.4,1.66,0.0,98.34
2020-10-04,United States,North America,331000000,21405,343,886901,14709,2679.46,44.44,1.658,0.0,98.34
2020-10-11,United States,North America,331000000,21068,400,907969,15109,2743.11,45.65,1.664,0.0,98.34
2020-10-18,United States,North America,331000000,22200,398,930169,15507,2810.18,46.85,1.667,0.0,98.33
2020-10-25,United States,North America,331000000,24941,436,955110,15943,2885.53,48.17,1.669,0.0,98.33
2020-11-01,United States,North America,331000000,22260,391,977370,16334,2952.78,49.35,1.671,0.0,98.33
2020-11-08,United States,North America,331000000,18961,260,996331,16594,3010.06,50.13,1.666,0.0,98.33
2020-11-15,United States,North America,331000000,24422,447,1020753,17041,3083.85,51.48,1.669,0.0,98.33
2020-11-22,United States,North America,331000000,16013,263,1036766,17304,3132.22,52.28,1.669,0.0,98.33
2020-11-29,United States,North America,331000000,16254,388,1053020,17692,3181.33,53.45,1.68,0.0,98.32
2020-12-06,United States,North America,331000000,12151,143,1065171,17835,3218.04,53.88,1.674,0.0,98.33
2020-12-13,United States,North America,331000000,15045,245,1080216,18080,3263.49,54.62,1.674,0.0,98.33
2020-12-20,United States,North America,331000000,18714,177,1098930,18257,3320.03,55.16,1.661,0.0,98.34
2020-12-27,United States,North America,331000000,17190,153,1116120,18410,3371.96,55.62,1.649,0.0,98.35
2021-01-03,United States,North America,331000000,16351,145,1132471,18555,3421.36,56.06,1.638,0.0,98.36
2021-01-10,United States,North America,331000000,8944,177,1141415,18732,3448.38,56.59,1.641,0.0,98.36
2021-01-17,United States,North America,331000000,15030,349,1156445,19081,3493.79,57.65,1.65,0.0,98.35
2021-01-24,United States,North America,331000000,11032,260,1167477,19341,3527.12,58.43,1.657,0.0,98.34
2021-01-31,United States,North America,331000000,6686,164,1174163,19505,3547.32,58.93,1.661,0.0,98.34
2021-02-07,United States,North America,331000000,8403,170,1182566,19675,3572.71,59.44,1.664,0.0,98.34
2021-02-14,United States,North America,331000000,8799,177,1191365,19852,3599.29,59.98,1.666,0.0,98.33
2021-02-21,United States,North America,331000000,6427,103,1197792,19955,3618.71,60.29,1.666,0.0,98.33
2021-02-28,United States,North America,331000000,6258,71,1204050,20026,3637.61,60.5,1.663,0.0,98.34
2021-03-07,United States,North America,331000000,5251,105,1209301,20131,3653.48,60.82,1.665,0.26,98.33
2021-03-14,United States,North America,331000000,3418,58,1212719,20189,3663.8,60.99,1.665,0.91,98.33
2021-03-21,United States,North America,331000000,2463,23,1215182,20212,3671.24,61.06,1.663,1.82,98.34
2021-03-28,United States,North America,331000000,3058,41,1218240,20253,3680.48,61.19,1.662,3.06,98.34
2021-04-04,United States,North America,331000000,2518,39,1220758,20292,3688.09,61.31,1.662,4.59,98.34
2021-04-11,United States,North America,331000000,3120,35,1223878,20327,3697.52,61.41,1.661,6.2,98.34
